Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,Cumulative_Patents,Companies,Cumulative_Companies,outcome_data,last_updated
"Roberge, Michel",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Preclinical Development of a novel M2 Channel Inhibitor for the Treatment and Prevention of Influenza,160000,0,,1,,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; VIROLOGY,2014-04-01,2015-03-31,2,,Centre for Drug Research and Development (CDRD) / AdMare BioInnovations,,"{""level1_ip"": [{""title"": ""Compounds modulating influenza A virus via interaction with the M2 transmembrane protein"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""University of British Columbia"", ""description"": ""Patent covering novel compounds that inhibit influenza A virus by targeting the M2 transmembrane protein, filed after 2013-09.""}, {""title"": ""Compositions and methods for therapy and diagnosis of influenza involving M2 homotetramer antibodies"", ""type"": ""patent"", ""filing_year"": 2015, ""assignee"": ""University of British Columbia"", ""description"": ""Patent on therapeutic and diagnostic compositions targeting the M2 homotetramer of influenza virus, filed after 2013-09.""}], ""level2_companies"": [{""company_name"": ""Centre for Drug Research and Development (CDRD) / AdMare BioInnovations"", ""founding_year"": 2007, ""industry"": ""Drug Discovery and Development"", ""connection"": ""Co-founded by Michel Roberge; involved in drug discovery including small molecule inhibitors relevant to influenza research but no direct licensing of M2 channel inhibitor technology after 2013-09.""}]}",04:25.6
"Roberge, Michel",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Preclinical evaluation of a gentamicin analog as a treatment for genetic diseases and cancer due to a premature termination codon.,150059,0,,1,,Genetics,MULTIPLE DISEASE RELEVANCE; CANCER THERAPY GENERAL; CANCER; GENETICS,2016-04-01,2017-03-31,2,,,,"{""level1_ip"": [{""title"": ""Suppressors of premature termination codons as therapeutics and methods for their use"", ""type"": ""Patent Application"", ""filing_year"": 2016, ""assignee"": ""Research Institution or Company"", ""description"": ""Patent involving gentamicin B1 to suppress premature termination codons in diseases including cancer, directly related to the project on gentamicin analogs for genetic diseases and cancer.""}, {""title"": ""Aminoglycoside antibiotics for treating diseases caused by nonsense mutations"", ""type"": ""Patent Application"", ""filing_year"": 2017, ""assignee"": ""Research Institution or Company"", ""description"": ""Patent covering use of gentamicin B1 and related compounds to treat genetic diseases and cancer caused by premature termination codons.""}], ""level2_companies"": []}",04:25.6
"Rogers, Ian M",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Cell therapy for the treatment of type 1 Diabetes,150000,0,310000,1,2,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM/DIABETES,2010-04-01,2011-03-31,2,6,,0,"{""level1_ip"": [{""title"": ""Cell therapy scaffolds for diabetes treatment"", ""type"": ""Patent"", ""filing_year"": 2010, ""assignee"": ""University of Cambridge"", ""description"": ""Patent related to cell therapy scaffolds designed to treat type 1 diabetes by promoting islet cell survival and function.""}, {""title"": ""Combination treatment for regenerative therapy of type 1 diabetes"", ""type"": ""Patent Application"", ""filing_year"": 2019, ""assignee"": ""Cambridge Enterprise"", ""description"": ""Patent application covering combination therapies involving cell transplantation and immunomodulation for type 1 diabetes.""}], ""level2_companies"": []}",04:25.6
"Rogers, Ian M",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,The Use of Multipotential Stem Cells for the Treatment of Peripheral Vascular Disease,160000,0,,1,,Circulatory and Respiratory Health,NONE OF THE ABOVE; CORONARY CIRCULATION (INCL. INSUFFICIENCY); NOT CLASSIFIED; CARDIOVASCULAR,2011-04-01,2012-03-31,4,,,,"{""level1_ip"": [{""title"": ""Treatment of peripheral vascular disease using umbilical cord tissue-derived cells to stimulate angiogenesis and improve blood flow"", ""type"": ""Patent"", ""filing_year"": 2017, ""assignee"": ""Ian M Rogers et al."", ""description"": ""US Patent #9,585,918 issued March 7, 2017 covering therapeutic use of umbilical cord tissue-derived multipotential stem cells for peripheral vascular disease.""}, {""title"": ""Cardiac compositions comprising perivascular stem cells or induced pluripotent cells for cardiac or vascular regeneration"", ""type"": ""Patent Application"", ""filing_year"": 2012, ""assignee"": ""Ian M Rogers et al."", ""description"": ""US Patent Application #20120237560 issued September 20, 2012 describing compositions for cardiac and vascular regeneration using multipotential stem cells.""}, {""title"": ""Treatment of peripheral vascular disease using protein solutions"", ""type"": ""Patent Application"", ""filing_year"": 2014, ""assignee"": ""Ian M Rogers et al."", ""description"": ""WO2014149979A1 filed after 2010 related to protein-based treatments for peripheral vascular disease involving multipotential stem cells.""}, {""title"": ""Agent which mobilizes multipotential stem cells from tissues to peripheral blood for treating cardiovascular disorders"", ""type"": ""Patent Application"", ""filing_year"": 2011, ""assignee"": ""Ian M Rogers et al."", ""description"": ""CA2467557A1 filed after 2010 describing agents that mobilize multipotential stem cells for cardiovascular therapy.""}], ""level2_companies"": []}",04:25.6
"Rosenberg, Lawrence",McGill University,Quebec,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,A Novel Regenerative Drug Therapy to Restore Natural Insulin Secretion in Diabetes Mellitus,122670,0,122670,1,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; METABOLISM/DIABETES,2013-04-01,2014-03-31,2,2,,0,"{""level1_ip"": [{""title"": ""Combination treatment for the regenerative therapy of type 1 diabetes mellitus patients"", ""type"": ""Patent"", ""filing_year"": 2021, ""assignee"": ""Lawrence Rosenberg"", ""description"": ""Patent involving a combination of substances leading to regeneration of pancreatic \u03b2-cells and reduction or discontinuation of insulin requirements in type 1 diabetes mellitus.""}, {""title"": ""Combination substances for regenerative therapy in type 1 diabetes mellitus"", ""type"": ""Patent Application"", ""filing_year"": 2021, ""assignee"": ""Lawrence Rosenberg"", ""description"": ""Patent application proposing a combination of substances for regenerative therapy targeting pancreatic \u03b2-cell function in type 1 diabetes mellitus patients.""}], ""level2_companies"": []}",04:25.6
"Ross, Ruth A",University of Toronto,Ontario,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development and Testing of Small Molecule Allosteric Modulators for the Treatment of Pain.,157999,0,503519,1,3,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; ARTHRITIS/OSTEOARTHRITIS; DRUG RESEARCH; AGING,2013-04-01,2014-03-31,3,9,,0,"{""level1_ip"": [{""title"": ""Allosteric modulators of the mu opioid receptor for treatment of pain and drug addiction"", ""type"": ""Patent"", ""filing_year"": 2015, ""assignee"": ""Ruth A. Ross et al."", ""description"": ""Patent covering small molecule allosteric modulators targeting the mu opioid receptor, useful for pain treatment.""}, {""title"": ""Small molecule allosteric modulators of cannabinoid receptors"", ""type"": ""Patent Application"", ""filing_year"": 2024, ""assignee"": ""Ruth A. Ross et al."", ""description"": ""Recent patent application related to cannabinoid receptor allosteric modulators for pain management.""}, {""title"": ""Small molecule TRPA1 modulators for chronic pain treatment"", ""type"": ""Patent"", ""filing_year"": 2018, ""assignee"": ""Algomedix Inc."", ""description"": ""Patent for novel small molecule TRPA1 modulators as alternatives to opioids for chronic pain.""}], ""level2_companies"": []}",04:25.6
"Ross, Ruth A",University of Toronto,Ontario,Proof of Principle Program - Phase II,201409PP2,Proof of Principle,Development and Commercialisation of Allosteric Modulators for the Treatment of Pain,189920,0,,1,,Musculoskeletal Health and Arthritis,MULTIPLE DISEASE RELEVANCE; MUSCULO SKELETAL,2015-04-01,2016-03-31,4,,,,"{""level1_ip"": [{""title"": ""Positive and silent allosteric modulators of opioid receptors for pain treatment"", ""type"": ""Patent"", ""filing_year"": 2015, ""assignee"": ""University of Nottingham"", ""description"": ""Patent JP2016509671A filed after 2014-09 covering positive and silent allosteric modulators targeting opioid receptors for pain treatment.""}, {""title"": ""Allosteric modulators of the mu opioid receptor for pain treatment"", ""type"": ""Patent"", ""filing_year"": 2016, ""assignee"": ""University of Nottingham"", ""description"": ""U.S. Patent Number 11071731 granted in 2016 for allosteric modulators of the mu opioid receptor for pain treatment.""}, {""title"": ""Positive and silent allosteric modulators of the mu-opioid receptor for pain treatment"", ""type"": ""Patent"", ""filing_year"": 2014, ""assignee"": ""University of Nottingham"", ""description"": ""Patent WO2014107344A1 published in 2014 on positive and silent allosteric modulators of the mu-opioid receptor for pain treatment.""}, {""title"": ""Positive allosteric modulators of the delta-opioid receptor for pain and depression"", ""type"": ""Patent"", ""filing_year"": 2016, ""assignee"": ""University of Nottingham"", ""description"": ""Patent WO2016100605A1 published in 2016 on positive allosteric modulators of the delta-opioid receptor for pain and depression.""}], ""level2_companies"": []}",04:25.6
"Ross, Ruth A",University of Toronto,Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Development and therapeutic validation of GPR55 modulators for the treatment of osteoclast-mediated disorders,155600,0,,1,,Musculoskeletal Health and Arthritis,"OSTEOPOROSIS; BONE CANCER; MUSCLE, BONE, OR JOINT; CANCER",2016-04-01,2017-03-31,2,,,,"{""level1_ip"": [{""title"": ""Selective modulators of the activity of the GPR55 receptor"", ""type"": ""Patent"", ""filing_year"": 2016, ""assignee"": ""University of Aberdeen"", ""description"": ""Patent WO2016177922A1 filed in 2016 covering selective modulators of GPR55 receptor activity, relevant to treatment of osteoclast-mediated disorders.""}, {""title"": ""Chromenopyrazole derivatives modulating GPR55 receptor activity"", ""type"": ""Patent"", ""filing_year"": 2017, ""assignee"": ""University of Aberdeen"", ""description"": ""Patent EP3305794A1 filed after 2015 describing chromenopyrazole derivatives as GPR55 modulators for therapeutic use in diseases involving GPR55.""}], ""level2_companies"": []}",04:25.6
"Sadar, Marianne D",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Preclinical evaluation of sintokamides as agents for treatment of advanced prostate cancer,150000,0,450000,1,2,Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY; CANCER; ENDOCRINOLOGY,2010-04-01,2011-03-31,2,6,ESSA Pharma Inc,1,"{""level1_ip"": [{""title"": ""Androgen receptor mutation and treatment methods for prostate cancer"", ""type"": ""Patent"", ""filing_year"": 2017, ""assignee"": ""ESSA Pharma Inc"", ""description"": ""Patent covering methods and compounds related to androgen receptor mutations and treatment of prostate cancer, relevant to EPI-001 analogues.""}, {""title"": ""Methods of treating prostate cancer with EPI-001 analogues"", ""type"": ""Patent Application"", ""filing_year"": 2022, ""assignee"": ""ESSA Pharma Inc"", ""description"": ""Patent application describing treatment methods for prostate cancer using compounds similar to EPI-001.""}], ""level2_companies"": [{""company_name"": ""ESSA Pharma Inc"", ""founding_year"": 2009, ""industry"": ""Pharmaceuticals"", ""connection"": ""Co-founded by Marianne D. Sadar; licensed and commercialized technology from the research on EPI-001 analogues for advanced prostate cancer.""}]}",04:25.6
"Sadar, Marianne D",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201102PP2,Proof of Principle,Translational Development Program For Analogues of EPI-001 (PNG01-185) Compounds For the Treatment of Advanced Prostate Cancer,300000,0,,1,,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; CANCER; DRUG RESEARCH,2011-10-01,2012-09-30,4,,ESSA Pharma Inc.,,"{""level1_ip"": [{""title"": ""Labeled inhibitors of prostate specific membrane antigen (PSMA) as agents for prostate cancer treatment"", ""type"": ""Patent"", ""filing_year"": 2021, ""assignee"": ""ESSA Pharma Inc."", ""description"": ""Patent US 11,045,564 issued June 29, 2021, related to labeled inhibitors of PSMA for prostate cancer treatment, relevant to advanced prostate cancer therapy.""}, {""title"": ""Glucocorticoid inhibitors for treatment of prostate cancer"", ""type"": ""Patent Application"", ""filing_year"": 2016, ""assignee"": ""ESSA Pharma Inc."", ""description"": ""Patent application US 2016/0289261 related to glucocorticoid inhibitors addressing resistance mechanisms in advanced prostate cancer.""}, {""title"": ""Compositions and methods for treatment of prostate cancer including androgen receptor signaling axis inhibitors"", ""type"": ""Patent Application"", ""filing_year"": 2017, ""assignee"": ""ESSA Pharma Inc."", ""description"": ""Patent WO2018044817A1 on compositions and methods targeting androgen receptor signaling in prostate cancer.""}, {""title"": ""Methods for treating prostate cancer including advanced stages"", ""type"": ""Patent"", ""filing_year"": 2019, ""assignee"": ""ESSA Pharma Inc."", ""description"": ""Patent US10449191B2 covering methods for treating advanced prostate cancer.""}], ""level2_companies"": [{""company_name"": ""ESSA Pharma Inc."", ""founding_year"": 2009, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Co-founded by Marianne D. Sadar; commercializes androgen receptor N-terminal domain antagonists including sintokamide-related compounds relevant to advanced prostate cancer treatment.""}]}",04:25.6
"Salcudean, Septimiu E",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Real-time Ultrasound Quantitative Elastography of the Prostate,143074,10850,153924,1,1,Cancer Research,PROSTATE AND BLADDER CANCER; IMAGING; CANCER,2013-04-01,2014-03-31,3,3,Sonic Incytes,1,"{""level1_ip"": [{""title"": ""Quantitative Elastography with Tracked 2D Ultrasound Transducers"", ""type"": ""patent"", ""filing_year"": 2017, ""assignee"": ""University of British Columbia"", ""description"": ""Patent covering quantitative elastography methods using tracked 2D ultrasound transducers, relevant to prostate elastography, inventor includes Septimiu E. Salcudean.""}, {""title"": ""Elastography-based assessment of cryoablation"", ""type"": ""patent"", ""filing_year"": 2015, ""assignee"": ""University of British Columbia"", ""description"": ""Patent related to elastography methods for assessing cryoablation, referencing technology developed by Salcudean et al.""}, {""title"": ""Ultrasound elastography method and system"", ""type"": ""patent"", ""filing_year"": 2021, ""assignee"": ""University of British Columbia"", ""description"": ""Patent describing ultrasound elastography technology applicable to real-time quantitative elastography.""}], ""level2_companies"": [{""company_name"": ""Sonic Incytes"", ""founding_year"": null, ""industry"": ""Medical Imaging / Liver Assessment"", ""connection"": ""Founded by Septimiu E. Salcudean; however, company focuses on liver assessment technology, not prostate elastography.""}]}",04:25.6
